时间/h,药材半径/cm
34.45000000,1.20100000
34.46666667,1.20100000
34.48333333,1.20100000
34.50000000,1.20100000
34.51666667,1.20099674
34.53333333,1.20098726
34.55000000,1.20097200
34.56666667,1.20095141
34.58333333,1.20092593
34.60000000,1.20089600
34.61666667,1.20086207
34.63333333,1.20082459
34.65000000,1.20078400
34.66666667,1.20074074
34.68333333,1.20069526
34.70000000,1.20064800
34.71666667,1.20059941
34.73333333,1.20054993
34.75000000,1.20050000
34.76666667,1.20045007
34.78333333,1.20040059
34.80000000,1.20035200
34.81666667,1.20030474
34.83333333,1.20025926
34.85000000,1.20021600
34.86666667,1.20017541
34.88333333,1.20013793
34.90000000,1.20010400
34.91666667,1.20007407
34.93333333,1.20004859
34.95000000,1.20002800
34.96666667,1.20001274
34.98333333,1.20000326
35.00000000,1.20000000
35.01666667,1.20000000
35.03333333,1.20000000
35.05000000,1.20000000
35.06666667,1.20000000
35.08333333,1.20000000
35.10000000,1.20000000
35.11666667,1.20000000
35.13333333,1.20000000
35.15000000,1.20000000
35.16666667,1.20000000
35.18333333,1.20000000
35.20000000,1.20000000
35.21666667,1.20000000
35.23333333,1.20000000
35.25000000,1.20000000
35.26666667,1.20000000
35.28333333,1.20000000
35.30000000,1.20000000
35.31666667,1.20000000
35.33333333,1.20000000
35.35000000,1.20000000
35.36666667,1.20000000
35.38333333,1.20000000
35.40000000,1.20000000
35.41666667,1.20000000
35.43333333,1.20000000
35.45000000,1.20000000
35.46666667,1.20000000
35.48333333,1.20000000
35.50000000,1.20000000
35.51666667,1.20000000
35.53333333,1.20000000
35.55000000,1.20000000
35.56666667,1.20000000
35.58333333,1.20000000
35.60000000,1.20000000
35.61666667,1.20000000
35.63333333,1.20000000
35.65000000,1.20000000
35.66666667,1.20000000
35.68333333,1.20000000
35.70000000,1.20000000
35.71666667,1.20000000
35.73333333,1.20000000
35.75000000,1.20000000
35.76666667,1.20000000
35.78333333,1.20000000
35.80000000,1.20000000
35.81666667,1.20000000
35.83333333,1.20000000
35.85000000,1.20000000
35.86666667,1.20000000
35.88333333,1.20000000
35.90000000,1.20000000
35.91666667,1.20000000
35.93333333,1.20000000
35.95000000,1.20000000
35.96666667,1.20000000
35.98333333,1.20000000
36.00000000,1.20000000
36.01666667,1.20000000
36.03333333,1.20000000
36.05000000,1.20000000
36.06666667,1.20000000
36.08333333,1.20000000
36.10000000,1.20000000
36.11666667,1.20000000
36.13333333,1.20000000
36.15000000,1.20000000
36.16666667,1.20000000
36.18333333,1.20000000
36.20000000,1.20000000
36.21666667,1.20000000
36.23333333,1.20000000
36.25000000,1.20000000
36.26666667,1.20000000
36.28333333,1.20000000
36.30000000,1.20000000
36.31666667,1.20000000
36.33333333,1.20000000
36.35000000,1.20000000
36.36666667,1.20000000
36.38333333,1.20000000
36.40000000,1.20000000
36.41666667,1.20000000
36.43333333,1.20000000
36.45000000,1.20000000
36.46666667,1.20000000
36.48333333,1.20000000
36.50000000,1.20000000
36.51666667,1.20000000
36.53333333,1.20000000
36.55000000,1.20000000
36.56666667,1.20000000
36.58333333,1.20000000
36.60000000,1.20000000
36.61666667,1.20000000
36.63333333,1.20000000
36.65000000,1.20000000
36.66666667,1.20000000
36.68333333,1.20000000
36.70000000,1.20000000
36.71666667,1.20000000
36.73333333,1.20000000
36.75000000,1.20000000
36.76666667,1.20000000
36.78333333,1.20000000
36.80000000,1.20000000
36.81666667,1.20000000
36.83333333,1.20000000
36.85000000,1.20000000
36.86666667,1.20000000
36.88333333,1.20000000
36.90000000,1.20000000
36.91666667,1.20000000
