时间/h,到中心距离/cm,温度/℃,水分浓度/(kg/kg)
12.00000000,0.79846642,50.00000000,0.52804171
12.00000000,0.80262234,50.00000000,0.52587675
12.00000000,0.80676537,50.00000000,0.52370684
12.00000000,0.81089547,50.00000000,0.52153206
12.00000000,0.81501261,50.00000000,0.51935249
12.00000000,0.81911674,50.00000000,0.51716823
12.00000000,0.82320782,50.00000000,0.51497935
12.00000000,0.82728581,50.00000000,0.51278593
12.00000000,0.83135066,50.00000000,0.51058805
12.00000000,0.83540234,50.00000000,0.50838581
12.00000000,0.83944079,50.00000000,0.50617926
12.00000000,0.84346599,50.00000000,0.50396850
12.00000000,0.84747788,50.00000000,0.50175360
12.00000000,0.85147642,50.00000000,0.49953465
12.00000000,0.85546156,50.00000000,0.49731170
12.00000000,0.85943326,50.00000000,0.49508485
12.00000000,0.86339148,50.00000000,0.49285417
12.00000000,0.86733616,50.00000000,0.49061973
12.00000000,0.87126727,50.00000000,0.48838160
12.00000000,0.87518475,50.00000000,0.48613986
12.00000000,0.87908855,50.00000000,0.48389459
12.00000000,0.88297863,50.00000000,0.48164584
12.00000000,0.88685495,50.00000000,0.47939370
12.00000000,0.89071744,50.00000000,0.47713823
12.00000000,0.89456606,50.00000000,0.47487951
12.00000000,0.89840077,50.00000000,0.47261759
12.00000000,0.90222150,50.00000000,0.47035255
12.00000000,0.90602822,50.00000000,0.46808446
12.00000000,0.90982086,50.00000000,0.46581338
12.00000000,0.91359938,50.00000000,0.46353938
12.00000000,0.91736371,50.00000000,0.46126252
12.00000000,0.92111382,50.00000000,0.45898286
12.00000000,0.92484964,50.00000000,0.45670047
12.00000000,0.92857112,50.00000000,0.45441541
12.00000000,0.93227820,50.00000000,0.45212775
12.00000000,0.93597083,50.00000000,0.44983754
12.00000000,0.93964895,50.00000000,0.44754483
12.00000000,0.94331250,50.00000000,0.44524971
12.00000000,0.94696143,50.00000000,0.44295221
12.00000000,0.95059567,50.00000000,0.44065239
12.00000000,0.95421517,50.00000000,0.43835033
12.00000000,0.95781987,50.00000000,0.43604606
12.00000000,0.96140970,50.00000000,0.43373964
12.00000000,0.96498461,50.00000000,0.43143114
12.00000000,0.96854452,50.00000000,0.42912060
12.00000000,0.97208938,50.00000000,0.42680807
12.00000000,0.97561913,50.00000000,0.42449361
12.00000000,0.97913370,50.00000000,0.42217727
12.00000000,0.98263301,50.00000000,0.41985910
12.00000000,0.98611701,50.00000000,0.41753915
12.00000000,0.98958564,50.00000000,0.41521746
12.00000000,0.99303880,50.00000000,0.41289409
12.00000000,0.99647645,50.00000000,0.41056908
12.00000000,0.99989851,50.00000000,0.40824247
12.00000000,1.00330491,50.00000000,0.40591432
12.00000000,1.00669558,50.00000000,0.40358467
12.00000000,1.01007043,50.00000000,0.40125356
12.00000000,1.01342941,50.00000000,0.39892104
12.00000000,1.01677242,50.00000000,0.39658714
12.00000000,1.02009941,50.00000000,0.39425191
12.00000000,1.02341028,50.00000000,0.39191539
12.00000000,1.02670496,50.00000000,0.38957762
12.00000000,1.02998337,50.00000000,0.38723864
12.00000000,1.03324543,50.00000000,0.38489849
12.00000000,1.03649106,50.00000000,0.38255720
12.00000000,1.03972017,50.00000000,0.38021481
12.00000000,1.04293267,50.00000000,0.37787137
12.00000000,1.04612849,50.00000000,0.37552689
12.00000000,1.04930753,50.00000000,0.37318143
12.00000000,1.05246971,50.00000000,0.37083501
12.00000000,1.05561493,50.00000000,0.36848766
12.00000000,1.05874311,50.00000000,0.36613943
12.00000000,1.06185414,50.00000000,0.36379034
12.00000000,1.06494794,50.00000000,0.36144042
12.00000000,1.06802440,50.00000000,0.35908971
12.00000000,1.07108344,50.00000000,0.35673823
12.00000000,1.07412494,50.00000000,0.35438601
12.00000000,1.07714881,50.00000000,0.35203310
12.00000000,1.08015495,50.00000000,0.34967950
12.00000000,1.08314324,50.00000000,0.34732526
12.00000000,1.08611359,50.00000000,0.34497040
12.00000000,1.08906588,50.00000000,0.34261495
12.00000000,1.09200000,50.00000000,0.34025893
12.00000000,1.09491584,50.00000000,0.33790238
12.00000000,1.09781328,50.00000000,0.33554532
12.00000000,1.10069221,50.00000000,0.33318777
12.00000000,1.10355251,50.00000000,0.33082978
12.00000000,1.10639405,50.00000000,0.32847135
12.00000000,1.10921670,50.00000000,0.32611252
12.00000000,1.11202035,50.00000000,0.32375331
12.00000000,1.11480486,50.00000000,0.32139376
12.00000000,1.11757011,50.00000000,0.31903389
12.00000000,1.12031594,50.00000000,0.31667373
12.00000000,1.12304223,50.00000000,0.31431331
12.00000000,1.12574884,50.00000000,0.31195265
12.00000000,1.12843562,50.00000000,0.30959180
12.00000000,1.13110242,50.00000000,0.30723077
